,Unnamed: 0,emotion_str,country,tweet,name,alpha-3,country-code,Country,Users (in million),Source,Total Tweets,tweetpm,date,Unnamed: 0,emotion_str,country,tweet,name,alpha-3,country-code,Country,Users (in million),Source,Total Tweets,tweetpm,date,Unnamed: 0,emotion_str,country,tweet,name,alpha-3,country-code,Country,Users (in million),Source,Total Tweets,tweetpm,date,Unnamed: 0,emotion_str,country,tweet,name,alpha-3,country-code,Country,Users (in million),Source,Total Tweets,tweetpm,date,Unnamed: 0,emotion_str,country,tweet,date,name,alpha-3,country-code,Country,Users (in million),Source,Total Tweets,tweetpm
0,0,anger,Australia,72,Australia,AUS,36,Australia,4.1,Statista,22578.0,17.5609756097561,February,0,anger,Australia,186,Australia,AUS,36,Australia,5.0,Statista,22578.0,37.2,March,0,anger,Australia,108,Australia,AUS,36,Australia,5.0,Statista,22578.0,21.6,April,0,anger,Australia,66,Australia,AUS,36,Australia,5.0,Statista,22578.0,13.2,May,0,anger,Australia,72,June,Australia,AUS,36,Australia,5.0,Statista,22578.0,14.4
1,1,anger,Belgium,6,Belgium,BEL,56,Belgium,1.0,,2268.0,6.0,February,1,anger,Belgium,24,Belgium,BEL,56,Belgium,1.0,,2268.0,24.0,March,1,anger,Belgium,18,Belgium,BEL,56,Belgium,1.0,,2268.0,18.0,April,1,anger,Belgium,6,Belgium,BEL,56,Belgium,1.0,,2268.0,6.0,May,1,anger,Brazil,3,June,Brazil,BRA,76,Brazil,14.35,Statista,1734.0,0.20905923344947736
2,2,anger,Canada,96,Canada,CAN,124,Canada,8.15,Statista,38382.0,11.779141104294476,February,2,anger,Brazil,12,Brazil,BRA,76,Brazil,14.35,Statista,1734.0,0.8362369337979094,March,2,anger,Brazil,18,Brazil,BRA,76,Brazil,14.35,Statista,1734.0,1.2543554006968642,April,2,anger,Brazil,18,Brazil,BRA,76,Brazil,14.35,Statista,1734.0,1.2543554006968642,May,2,anger,Canada,111,June,Canada,CAN,124,Canada,8.15,Statista,38382.0,13.619631901840492
3,3,anger,China,126,China,CHN,156,China,2.0,NY Times,7482.0,63.0,February,3,anger,Canada,336,Canada,CAN,124,Canada,8.15,Statista,38382.0,41.22699386503067,March,3,anger,Canada,258,Canada,CAN,124,Canada,8.15,Statista,38382.0,31.65644171779141,April,3,anger,Canada,168,Canada,CAN,124,Canada,8.15,Statista,38382.0,20.613496932515336,May,3,anger,China,6,June,China,CHN,156,China,2.0,NY Times,7482.0,3.0
4,4,anger,France,12,France,FRA,250,France,8.9,Statista,3192.0,1.348314606741573,February,4,anger,China,24,China,CHN,156,China,2.0,NY Times,7482.0,12.0,March,4,anger,China,6,China,CHN,156,China,2.0,NY Times,7482.0,3.0,April,4,anger,France,12,France,FRA,250,France,8.9,Statista,3192.0,1.348314606741573,May,4,anger,Germany,9,June,Germany,DEU,276,Germany,6.1,Statista,4140.0,1.475409836065574
5,5,anger,Germany,24,Germany,DEU,276,Germany,6.1,Statista,4140.0,3.9344262295081966,February,5,anger,France,24,France,FRA,250,France,8.9,Statista,3192.0,2.696629213483146,March,5,anger,France,30,France,FRA,250,France,8.9,Statista,3192.0,3.3707865168539324,April,5,anger,Germany,6,Germany,DEU,276,Germany,6.1,Statista,4140.0,0.9836065573770492,May,5,anger,Ghana,39,June,Ghana,GHA,288,Ghana,2.0,,6312.0,19.5
6,6,anger,Ghana,54,Ghana,GHA,288,Ghana,2.0,,6312.0,27.0,February,6,anger,Germany,30,Germany,DEU,276,Germany,6.1,Statista,4140.0,4.918032786885246,March,6,anger,Germany,54,Germany,DEU,276,Germany,6.1,Statista,4140.0,8.852459016393443,April,6,anger,Ghana,54,Ghana,GHA,288,Ghana,2.0,,6312.0,27.0,May,6,anger,India,180,June,India,IND,356,India,13.15,Statista,90480.0,13.688212927756656
7,7,anger,Hong Kong,18,Hong Kong,HKG,344,Hong Kong,1.5,,2994.0,12.0,February,7,anger,Ghana,126,Ghana,GHA,288,Ghana,2.0,,6312.0,63.0,March,7,anger,Ghana,96,Ghana,GHA,288,Ghana,2.0,,6312.0,48.0,April,7,anger,India,372,India,IND,356,India,13.15,Statista,90480.0,28.288973384030413,May,7,anger,Indonesia,12,June,Indonesia,IDN,360,Indonesia,11.8,,3954.0,1.0169491525423728
8,8,anger,India,228,India,IND,356,India,13.15,Statista,90480.0,17.338403041825096,February,8,anger,Hong Kong,12,Hong Kong,HKG,344,Hong Kong,1.5,,2994.0,8.0,March,8,anger,Hong Kong,6,Hong Kong,HKG,344,Hong Kong,1.5,,2994.0,4.0,April,8,anger,Indonesia,12,Indonesia,IDN,360,Indonesia,11.8,,3954.0,1.0169491525423728,May,8,anger,Ireland,27,June,Ireland,IRL,372,Ireland,2.5,,12138.0,10.8
9,9,anger,Indonesia,24,Indonesia,IDN,360,Indonesia,11.8,,3954.0,2.0338983050847457,February,9,anger,India,408,India,IND,356,India,13.15,Statista,90480.0,31.02661596958175,March,9,anger,India,636,India,IND,356,India,13.15,Statista,90480.0,48.36501901140685,April,9,anger,Ireland,84,Ireland,IRL,372,Ireland,2.5,,12138.0,33.6,May,9,anger,Italy,6,June,Italy,ITA,380,Italy,2.5,,3822.0,2.4
10,10,anger,Ireland,42,Ireland,IRL,372,Ireland,1.5,,12138.0,28.0,February,10,anger,Indonesia,66,Indonesia,IDN,360,Indonesia,11.8,,3954.0,5.593220338983049,March,10,anger,Indonesia,42,Indonesia,IDN,360,Indonesia,11.8,,3954.0,3.5593220338983054,April,10,anger,Italy,18,Italy,ITA,380,Italy,2.5,,3822.0,7.2,May,10,anger,Japan,21,June,Japan,JPN,392,Japan,48.45,Statista,4314.0,0.4334365325077399
11,11,anger,Italy,30,Italy,ITA,380,Italy,2.5,,3822.0,12.0,February,11,anger,Ireland,108,Ireland,IRL,372,Ireland,2.5,,12138.0,43.2,March,11,anger,Ireland,66,Ireland,IRL,372,Ireland,2.5,,12138.0,26.4,April,11,anger,Japan,18,Japan,JPN,392,Japan,48.45,Statista,4314.0,0.37151702786377705,May,11,anger,Kenya,15,June,Kenya,KEN,404,Kenya,8.2,google,9228.0,1.8292682926829267
12,12,anger,Japan,6,Japan,JPN,392,Japan,48.45,Statista,4314.0,0.12383900928792567,February,12,anger,Italy,18,Italy,ITA,380,Italy,2.5,,3822.0,7.2,March,12,anger,Italy,60,Italy,ITA,380,Italy,2.5,,3822.0,24.0,April,12,anger,Kenya,6,Kenya,KEN,404,Kenya,8.2,google,9228.0,0.7317073170731708,May,12,anger,Kingdom of Saudi Arabia,3,June,Kingdom of Saudi Arabia,SAU,682,Kingdom of Saudi Arabia,15.0,Statista,1404.0,0.2
13,13,anger,Kenya,30,Kenya,KEN,404,Kenya,8.2,google,9228.0,3.6585365853658534,February,13,anger,Japan,30,Japan,JPN,392,Japan,48.45,Statista,4314.0,0.6191950464396284,March,13,anger,Japan,36,Japan,JPN,392,Japan,48.45,Statista,4314.0,0.7430340557275541,April,13,anger,Kingdom of Saudi Arabia,12,Kingdom of Saudi Arabia,SAU,682,Kingdom of Saudi Arabia,15.0,Statista,1404.0,0.8,May,13,anger,Malaysia,9,June,Malaysia,MYS,458,Malaysia,3.9,Statista,6930.0,2.307692307692308
14,14,anger,Malaysia,48,Malaysia,MYS,458,Malaysia,3.9,Statista,6930.0,12.307692307692307,February,14,anger,Kenya,78,Kenya,KEN,404,Kenya,8.2,google,9228.0,9.51219512195122,March,14,anger,Kenya,84,Kenya,KEN,404,Kenya,8.2,google,9228.0,10.24390243902439,April,14,anger,Malaysia,30,Malaysia,MYS,458,Malaysia,3.9,Statista,6930.0,7.6923076923076925,May,14,anger,Mexico,6,June,Mexico,MEX,484,Mexico,25.7,,1746.0,0.2334630350194553
15,15,anger,Mexico,18,Mexico,MEX,484,Mexico,25.7,,1746.0,0.7003891050583658,February,15,anger,Kingdom of Saudi Arabia,6,Kingdom of Saudi Arabia,SAU,682,Kingdom of Saudi Arabia,15.0,Statista,1404.0,0.4,March,15,anger,Kingdom of Saudi Arabia,12,Kingdom of Saudi Arabia,SAU,682,Kingdom of Saudi Arabia,15.0,Statista,1404.0,0.8,April,15,anger,Mexico,12,Mexico,MEX,484,Mexico,25.7,,1746.0,0.4669260700389105,May,15,anger,New Zealand,18,June,New Zealand,NZL,554,New Zealand,0.9,google,4464.0,20.0
16,16,anger,New Zealand,12,New Zealand,NZL,554,New Zealand,0.9,google,4464.0,13.333333333333332,February,16,anger,Malaysia,90,Malaysia,MYS,458,Malaysia,3.9,Statista,6930.0,23.07692307692308,March,16,anger,Malaysia,78,Malaysia,MYS,458,Malaysia,3.9,Statista,6930.0,20.0,April,16,anger,New Zealand,6,New Zealand,NZL,554,New Zealand,0.9,google,4464.0,6.666666666666666,May,16,anger,Nigeria,87,June,Nigeria,NGA,566,Nigeria,8.4,,38400.0,10.357142857142854
17,17,anger,Nigeria,234,Nigeria,NGA,566,Nigeria,8.4,,38400.0,27.857142857142854,February,17,anger,Mexico,18,Mexico,MEX,484,Mexico,25.7,,1746.0,0.7003891050583658,March,17,anger,Mexico,6,Mexico,MEX,484,Mexico,25.7,,1746.0,0.2334630350194553,April,17,anger,Nigeria,174,Nigeria,NGA,566,Nigeria,8.4,,38400.0,20.714285714285708,May,17,anger,Pakistan,30,June,Pakistan,PAK,586,Pakistan,2.6,google,8358.0,11.538461538461537
18,18,anger,Pakistan,30,Pakistan,PAK,586,Pakistan,1.26,google,8358.0,23.809523809523807,February,18,anger,New Zealand,18,New Zealand,NZL,554,New Zealand,0.9,google,4464.0,20.0,March,18,anger,New Zealand,42,New Zealand,NZL,554,New Zealand,0.9,google,4464.0,46.66666666666666,April,18,anger,Pakistan,12,Pakistan,PAK,586,Pakistan,2.6,google,8358.0,4.615384615384615,May,18,anger,Republic of the Philippines,30,June,Republic of the Philippines,PHL,608,Republic of the Philippines,7.15,Statista,11472.0,4.195804195804196
19,19,anger,Republic of Korea,18,Republic of Korea,KOR,410,Republic of Korea,6.05,Statista,1848.0,2.975206611570248,February,19,anger,Nigeria,234,Nigeria,NGA,566,Nigeria,8.4,,38400.0,27.857142857142854,March,19,anger,Nigeria,450,Nigeria,NGA,566,Nigeria,8.4,,38400.0,53.57142857142857,April,19,anger,Republic of Korea,18,Republic of Korea,KOR,410,Republic of Korea,6.05,Statista,1848.0,2.975206611570248,May,19,anger,South Africa,87,June,South Africa,ZAF,710,South Africa,8.5,Business Tech,27030.0,10.235294117647056
